net.sourceforge.squirrel_sql.plugins.exportconfig.gui.ExportPanelBuilder	public void writeToPerferences(net.sourceforge.squirrel_sql.plugins.exportconfig.ExportConfigPreferences) 	prefs	B3	0/8
net.sourceforge.squirrel_sql.plugins.laf.LAFFontsTab.FontSelectionPanel	private void createUserInterface() 	gbc	B1	0/8
net.sourceforge.squirrel_sql.plugins.laf.LAFFontsTab.FontSelectionPanel	void applyChanges() 	_prefs	B1	0/8
net.sourceforge.squirrel_sql.plugins.mssql.gui.MonitorPanel	private void addComponentToGridBag(int, int, int, int, double, double, int, java.awt.GridBagLayout, java.awt.Component, java.awt.Container) 	c	B1	0/8
net.sourceforge.squirrel_sql.plugins.mssql.gui.MonitorPanel	private void refreshData() 	_perfViewer	B1	0/8
net.sourceforge.squirrel_sql.client.gui.db.DataCache	private void fixupDrivers() 	driver	B2	0/8
net.sourceforge.squirrel_sql.client.gui.db.DataCache	private void fixupDrivers() 	driver	B3	0/5
net.sourceforge.squirrel_sql.plugins.graph.TableFrameController	private void onZoomChanged(double, double, boolean) 	bounds	B1	0/8
net.sourceforge.squirrel_sql.plugins.graph.TableFrameController	private void onZoomChanged(double, double, boolean) 	bounds	B3	0/5
net.sourceforge.squirrel_sql.client.session.mainpanel.SQLResultExecuterPanel.SQLExecutionHandler	public void sqlResultSetAvailable(java.sql.ResultSet, net.sourceforge.squirrel_sql.client.session.SQLExecutionInfo, net.sourceforge.squirrel_sql.fw.datasetviewer.IDataSetUpdateableTableModel) throws net.sourceforge.squirrel_sql.fw.datasetviewer.DataSetException	info	B1	0/8
net.sourceforge.squirrel_sql.client.session.mainpanel.SQLResultExecuterPanel.SQLExecutionHandler	public void sqlResultSetAvailable(java.sql.ResultSet, net.sourceforge.squirrel_sql.client.session.SQLExecutionInfo, net.sourceforge.squirrel_sql.fw.datasetviewer.IDataSetUpdateableTableModel) throws net.sourceforge.squirrel_sql.fw.datasetviewer.DataSetException	info	B3	0/3
net.sourceforge.squirrel_sql.client.gui.db.DriverInternalFrame	private java.awt.Component createDriverClassPanel() 	gbc	B1	0/7
net.sourceforge.squirrel_sql.client.plugin.gui.PluginQueryTokenizerPreferencesPanel	protected void save() 	_prefs	B1	0/7
net.sourceforge.squirrel_sql.client.preferences.ProxyPreferencesPanel.MyPanel	private void createUserInterface() 	gbc	B1	0/7
net.sourceforge.squirrel_sql.client.preferences.UpdatePreferencesPanel	private void createUserInterface() 	gbc	B1	0/7
net.sourceforge.squirrel_sql.client.preferences.UpdatePreferencesPanel	void applyChanges(net.sourceforge.squirrel_sql.client.preferences.SquirrelPreferences) 	prefs	B3	0/7
net.sourceforge.squirrel_sql.client.session.BaseSQLEntryPanel	public void moveCaretToPreviousSQLBegin() 	iLastIndex	B3	0/7
net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.tabs.BasePreparedStatementTab	protected void refreshComponent() throws net.sourceforge.squirrel_sql.fw.datasetviewer.DataSetException	_comp	B1	0/7
net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.tabs.BasePreparedStatementTab	protected void refreshComponent() throws net.sourceforge.squirrel_sql.fw.datasetviewer.DataSetException	_comp	B3	0/7
net.sourceforge.squirrel_sql.client.session.properties.SessionSQLPropertiesPanel.SQLPropertiesPanel	private javax.swing.JPanel createFontPanel() 	gbc	B1	0/7
net.sourceforge.squirrel_sql.fw.datasetviewer.PopupEditableIOPanel	private java.lang.String getTextAreaCannonicalForm() 	base	B1	0/7
net.sourceforge.squirrel_sql.fw.datasetviewer.PopupEditableIOPanel	private java.lang.String getTextAreaCannonicalForm() 	base	B3	0/7
net.sourceforge.squirrel_sql.fw.datasetviewer.PopupEditableIOPanel	private java.lang.String getTextAreaCannonicalForm() 	base	B5	0/7
net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent.DataTypeBinary	public java.lang.String renderObject(java.lang.Object) 	useValue	B1	0/7
net.sourceforge.squirrel_sql.fw.gui.ErrorDialog	private javax.swing.JComponent createMessagePanel(java.lang.String, java.lang.Throwable) 	msg	B1	0/7
net.sourceforge.squirrel_sql.fw.gui.ErrorDialog	private void createUserInterface(java.lang.String, java.lang.Throwable) 	msg	B1	0/7
net.sourceforge.squirrel_sql.fw.gui.action.TableExportCsvController	private void replaceFileEnding() 	newFile	B8	0/7
net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil	private static List<java.lang.String> getPKColumnList(net.sourceforge.squirrel_sql.fw.sql.ISQLConnection, net.sourceforge.squirrel_sql.fw.sql.ITableInfo) throws java.sql.SQLException	rs	B1	0/7
net.sourceforge.squirrel_sql.plugins.dbdiff.util.DBUtil	private static List<java.lang.String> getPKColumnList(net.sourceforge.squirrel_sql.fw.sql.ISQLConnection, net.sourceforge.squirrel_sql.fw.sql.ITableInfo) throws java.sql.SQLException	rs	B1	0/7
net.sourceforge.squirrel_sql.plugins.graph.TableFrameController	private boolean initFromDB() throws java.sql.SQLException	colInfo	B5	0/7
net.sourceforge.squirrel_sql.plugins.graph.graphtofiles.ImageSelection	public java.awt.datatransfer.Transferable createTransferable(javax.swing.JComponent) 	icon	B1	0/7
net.sourceforge.squirrel_sql.plugins.laf.AbstractPlasticController.PrefsPanel	private void createUserInterface() 	gbc	B1	0/7
net.sourceforge.squirrel_sql.plugins.laf.LAFPreferencesTab.LAFPreferencesPanel	private javax.swing.JPanel createSettingsPanel() 	gbc	B1	0/7
net.sourceforge.squirrel_sql.plugins.oracle.prefs.OraclePluginPreferencesPanel	private void addSessionTimezoneTextField(javax.swing.JPanel, int, int) 	c	B1	0/7
