org.argouml.core.propertypanels.ui.UMLMutableLinkedList	public void mouseReleased(java.awt.event.MouseEvent) 	popup	B4	1/3
org.argouml.core.propertypanels.ui.UMLMutableLinkedList	public void mouseReleased(java.awt.event.MouseEvent) 	popup	B5	0/2
org.argouml.core.propertypanels.ui.SwingUIFactory	private void buildTextboxPanel(javax.swing.JPanel, java.lang.Object, org.argouml.core.propertypanels.model.ControlData) 	target	B1	1/3
org.argouml.core.propertypanels.ui.SwingUIFactory	private void buildTextboxPanel(javax.swing.JPanel, java.lang.Object, org.argouml.core.propertypanels.model.ControlData) 	target	B2	0/2
org.argouml.core.propertypanels.ui.UMLEditableComboBox.UMLComboBoxEditor	public void setItem(java.lang.Object) 	panel	B1	1/3
org.argouml.core.propertypanels.ui.UMLEditableComboBox.UMLComboBoxEditor	public void setItem(java.lang.Object) 	panel	B2	0/2
org.argouml.core.propertypanels.ui.UMLStructuralFeatureTypeComboBoxModel.ActionSetStructuralFeatureType	public void actionPerformed(java.awt.event.ActionEvent) 	newClassifier	B1	1/6
org.argouml.core.propertypanels.ui.UmlControl	protected javax.swing.JPanel createSingleButtonPanel(List<javax.swing.Action>) 	toolbar	B1	1/6
org.argouml.core.propertypanels.ui.UMLLinkAssociationComboBoxModel.ActionSetLinkAssociation	public void actionPerformed(java.awt.event.ActionEvent) 	newAssoc	B1	2/6
org.argouml.core.propertypanels.ui.UMLLinkAssociationComboBoxModel.ActionSetLinkAssociation	public void actionPerformed(java.awt.event.ActionEvent) 	newAssoc	B3	0/3
org.argouml.core.propertypanels.ui.SwingUIFactory	private void buildComboPanel(javax.swing.JPanel, java.lang.Object, org.argouml.core.propertypanels.model.ControlData) 	comp	B1	16/93
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	row	B1	6/31
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	row	B3	5/29
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	row	B4	5/27
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	row	B12	3/20
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	row	B13	3/15
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	y	B1	6/31
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	y	B3	5/29
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	y	B4	5/27
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	y	B12	3/20
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	y	B13	3/15
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	totalHeight	B1	6/31
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	totalHeight	B3	5/29
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	totalHeight	B4	5/27
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	unknownHeightCount	B1	6/31
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	unknownHeightCount	B3	5/29
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	unknownHeightCount	B4	5/27
org.argouml.core.propertypanels.ui.UMLComponentInstanceClassifierComboBoxModel.ActionSet	public void actionPerformed(java.awt.event.ActionEvent) 	classifiers	B1	1/5
org.argouml.core.propertypanels.ui.UMLTemplateParameterParameterComboBoxModel	protected void buildMinimalModelList() 	list	B1	1/5
org.argouml.core.propertypanels.ui.UMLValueSpecificationValueFieldOpaqueExpressionDialog	private void updateFields() 	listModel	B1	2/5
org.argouml.core.propertypanels.ui.UMLValueSpecificationValueFieldOpaqueExpressionDialog	private void updateFields() 	listModel	B2	0/3
org.argouml.core.propertypanels.ui.SwingUIFactory	private void buildComboPanel(javax.swing.JPanel, java.lang.Object, org.argouml.core.propertypanels.model.ControlData) 	comp	B1	17/85
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	labelWidth	B1	4/11
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	labelWidth	B3	3/10
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	labelWidth	B4	3/9
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	labelWidth	B5	2/8
org.argouml.core.propertypanels.ui.LabelledLayout	private void layoutSection(java.awt.Container, int, int, ArrayList#RAW, int) 	labelWidth	B7	0/2
org.argouml.core.propertypanels.ui.UMLCollaborationRepresentedClassifierComboBoxModel.ActionSetRepresentedClassifierCollaboration	public void actionPerformed(java.awt.event.ActionEvent) 	newValue	B1	1/4
org.argouml.core.propertypanels.ui.UMLCollaborationRepresentedOperationComboBoxModel.ActionSetRepresentedOperationCollaboration	public void actionPerformed(java.awt.event.ActionEvent) 	newValue	B1	1/4
org.argouml.core.propertypanels.ui.UMLTemplateParameterParameterComboBoxModel	protected void buildMinimalModelList() 	LOG	B1	1/4
org.argouml.core.propertypanels.ui.SwingUIFactory	private void buildTextboxPanel(javax.swing.JPanel, java.lang.Object, org.argouml.core.propertypanels.model.ControlData) 	document	B1	3/11
org.argouml.core.propertypanels.ui.SwingUIFactory	private void buildTextArea(javax.swing.JPanel, java.lang.Object, org.argouml.core.propertypanels.model.ControlData) 	p	B1	12/32
org.argouml.core.propertypanels.ui.UMLLinkedList	private final void showPopup(java.awt.event.MouseEvent) 	popup	B2	5/7
org.argouml.core.propertypanels.ui.UMLLinkedList	private final void showPopup(java.awt.event.MouseEvent) 	popup	B3	1/2
org.argouml.core.propertypanels.ui.RowSelector	public void mousePressed(java.awt.event.MouseEvent) 	e	B1	1/2
org.argouml.core.propertypanels.ui.RowSelector	public void mouseReleased(java.awt.event.MouseEvent) 	e	B1	1/2
org.argouml.core.propertypanels.ui.UMLComboBoxModel	public void removeElement(java.lang.Object) 	objects	B6	1/2
org.argouml.core.propertypanels.ui.UMLMutableLinkedList	public void mouseClicked(java.awt.event.MouseEvent) 	e	B1	1/2
org.argouml.core.propertypanels.ui.UMLMutableLinkedList	public void mousePressed(java.awt.event.MouseEvent) 	e	B1	1/2
org.argouml.core.propertypanels.ui.UMLMutableLinkedList	public void mouseReleased(java.awt.event.MouseEvent) 	e	B1	1/2
org.argouml.core.propertypanels.ui.LabelledLayout	public java.awt.Dimension preferredLayoutSize(java.awt.Container) 	preferredWidth	B1	2/4
org.argouml.core.propertypanels.ui.UMLAssociationEndTypeComboBoxModel.ActionSetAssociationEndType	public void actionPerformed(java.awt.event.ActionEvent) 	end	B1	2/4
org.argouml.core.propertypanels.ui.UMLLinkAssociationComboBoxModel	protected void buildModelList() 	linkEnds	B1	2/4
org.argouml.core.propertypanels.ui.UMLMetaClassComboBoxModel.ActionSetTagDefinitionType	public void actionPerformed(java.awt.event.ActionEvent) 	newType	B1	2/4
org.argouml.core.propertypanels.ui.UMLModelElementNamespaceComboBoxModel.SetAction	public void actionPerformed(java.awt.event.ActionEvent) 	m	B1	2/4
org.argouml.core.propertypanels.ui.UMLStructuralFeatureTypeComboBoxModel.ActionSetStructuralFeatureType	public void actionPerformed(java.awt.event.ActionEvent) 	oldClassifier	B1	2/4
org.argouml.core.propertypanels.ui.UMLAssociationEndTypeComboBoxModel.ActionSetAssociationEndType	public void actionPerformed(java.awt.event.ActionEvent) 	oldClassifier	B1	4/6
org.argouml.core.propertypanels.ui.UMLAssociationEndTypeComboBoxModel.ActionSetAssociationEndType	public void actionPerformed(java.awt.event.ActionEvent) 	oldClassifier	B2	1/2
org.argouml.core.propertypanels.ui.UMLModelElementNamespaceComboBoxModel.SetAction	public void actionPerformed(java.awt.event.ActionEvent) 	oldNamespace	B1	4/6
org.argouml.core.propertypanels.ui.UMLModelElementNamespaceComboBoxModel.SetAction	public void actionPerformed(java.awt.event.ActionEvent) 	oldNamespace	B2	1/2
org.argouml.core.propertypanels.ui.UMLGeneralizationPowertypeComboBoxModel.ActionSetGeneralizationPowertype	public void actionPerformed(java.awt.event.ActionEvent) 	oldClassifier	B1	6/8
