org.gjt.sp.jedit.textarea.JEditTextArea	public void resizeSelection(int, int, int, boolean) 	newSel	B1	0/19
org.gjt.sp.jedit.textarea.JEditTextArea	public void resizeSelection(int, int, int, boolean) 	newSel	B3	0/15
org.gjt.sp.jedit.textarea.JEditTextArea	public void resizeSelection(int, int, int, boolean) 	newSel	B5	0/9
org.gjt.sp.jedit.textarea.JEditTextArea	public void resizeSelection(int, int, int, boolean) 	newSel	B1	0/19
org.gjt.sp.jedit.textarea.JEditTextArea	public void resizeSelection(int, int, int, boolean) 	newSel	B3	0/15
org.gjt.sp.jedit.textarea.JEditTextArea	public void resizeSelection(int, int, int, boolean) 	newSel	B5	0/9
org.gjt.sp.jedit.GUIUtilities	public static void showPopupMenu(javax.swing.JPopupMenu, java.awt.Component, int, int, boolean) 	y	B2	0/19
org.gjt.sp.jedit.GUIUtilities	public static void showPopupMenu(javax.swing.JPopupMenu, java.awt.Component, int, int, boolean) 	y	B4	0/15
org.gjt.sp.jedit.GUIUtilities	public static void showPopupMenu(javax.swing.JPopupMenu, java.awt.Component, int, int, boolean) 	y	B5	0/13
org.gjt.sp.jedit.GUIUtilities	public static void showPopupMenu(javax.swing.JPopupMenu, java.awt.Component, int, int, boolean) 	y	B10	0/5
org.gjt.sp.jedit.BeanShell	static void init() 	global	B1	0/18
org.objectweb.asm.ClassWriter	public void visitField(int, java.lang.String, java.lang.String, java.lang.Object) 	fields	B1	0/18
org.objectweb.asm.Type	private static void getDescriptor(java.lang.StringBuffer, Class#RAW) 	car	B4	0/18
org.objectweb.asm.ClassWriter	public void visitField(int, java.lang.String, java.lang.String, java.lang.Object) 	name	B1	0/18
org.objectweb.asm.ClassWriter	public void visitField(int, java.lang.String, java.lang.String, java.lang.Object) 	name	B3	0/16
org.objectweb.asm.CodeWriter	public void visitMaxs(int, int) 	max	B2	0/18
org.objectweb.asm.CodeWriter	public void visitMaxs(int, int) 	max	B3	0/16
org.gjt.sp.jedit.browser.BrowserIORequest	public java.lang.String toString() 	typeString	B1	0/17
org.gjt.sp.jedit.pluginmgr.ManagePanel.PluginTableModel	public void update() 	entries	B1	0/17
org.gjt.sp.jedit.jEdit	public static boolean closeAllBuffers(org.gjt.sp.jedit.View, boolean) 	bufferHash	B8	0/17
org.gjt.sp.jedit.jEdit	public static boolean closeAllBuffers(org.gjt.sp.jedit.View, boolean) 	bufferHash	B11	0/17
org.gjt.sp.jedit.jEdit	public static boolean closeAllBuffers(org.gjt.sp.jedit.View, boolean) 	bufferHash	B13	0/16
org.gjt.sp.jedit.textarea.DisplayManager.BufferChangeHandler	public void contentRemoved(org.gjt.sp.jedit.Buffer, int, int, int, int) 	buffer	B1	0/17
org.gjt.sp.jedit.textarea.DisplayManager.BufferChangeHandler	public void contentRemoved(org.gjt.sp.jedit.Buffer, int, int, int, int) 	buffer	B3	0/17
org.gjt.sp.jedit.textarea.DisplayManager.BufferChangeHandler	public void contentRemoved(org.gjt.sp.jedit.Buffer, int, int, int, int) 	buffer	B4	0/16
installer.VariableGridLayout	private java.awt.Dimension getLayoutSize(java.awt.Container, int) 	w	B2	0/17
installer.VariableGridLayout	private java.awt.Dimension getLayoutSize(java.awt.Container, int) 	w	B12	0/17
installer.VariableGridLayout	private java.awt.Dimension getLayoutSize(java.awt.Container, int) 	w	B13	0/16
