org.argouml.model.euml.RootContainerAdapter	public void notifyChanged(org.eclipse.emf.common.notify.Notification) 	events	B1	2/3
org.argouml.model.euml.RootContainerAdapter	public void notifyChanged(org.eclipse.emf.common.notify.Notification) 	events	B2	1/2
org.argouml.model.euml.RootContainerAdapter	public void notifyChanged(org.eclipse.emf.common.notify.Notification) 	pump	B1	2/3
org.argouml.model.euml.RootContainerAdapter	public void notifyChanged(org.eclipse.emf.common.notify.Notification) 	pump	B2	1/2
org.argouml.model.euml.CoreHelperEUMLImpl	public transient void addOwnedElement(java.lang.Object, java.lang.Object, java.lang.String, java.lang.Object[]) 	LOG	B1	2/3
org.argouml.model.euml.CoreHelperEUMLImpl	public transient void addOwnedElement(java.lang.Object, java.lang.Object, java.lang.String, java.lang.Object[]) 	LOG	B3	2/3
org.argouml.model.euml.CoreHelperEUMLImpl	public transient void addOwnedElement(java.lang.Object, java.lang.Object, java.lang.String, java.lang.Object[]) 	LOG	B5	2/3
org.argouml.model.euml.UmlFactoryEUMLImpl	public void deleteExtent(java.lang.Object) 	LOG	B1	3/4
org.argouml.model.euml.UmlFactoryEUMLImpl	public void deleteExtent(java.lang.Object) 	modelImpl	B1	3/4
org.argouml.model.euml.XmiReaderEUMLImpl	public Collection#RAW parse(org.xml.sax.InputSource, boolean) throws org.argouml.model.UmlException	needsClosing	B1	8/10
org.argouml.model.euml.XmiReaderEUMLImpl	public Collection#RAW parse(org.xml.sax.InputSource, boolean) throws org.argouml.model.UmlException	needsClosing	B3	8/10
org.argouml.model.euml.XmiReaderEUMLImpl	public Collection#RAW parse(org.xml.sax.InputSource, boolean) throws org.argouml.model.UmlException	needsClosing	B5	7/8
org.argouml.model.euml.XmiReaderEUMLImpl	public Collection#RAW parse(org.xml.sax.InputSource, boolean) throws org.argouml.model.UmlException	needsClosing	B7	7/8
org.argouml.model.euml.XmiReaderEUMLImpl	public Collection#RAW parse(org.xml.sax.InputSource, boolean) throws org.argouml.model.UmlException	needsClosing	B9	6/7
org.argouml.model.euml.XmiReaderEUMLImpl	public Collection#RAW parse(org.xml.sax.InputSource, boolean) throws org.argouml.model.UmlException	needsClosing	B10	4/5
org.argouml.model.euml.XmiReaderEUMLImpl	public Collection#RAW parse(org.xml.sax.InputSource, boolean) throws org.argouml.model.UmlException	needsClosing	B11	2/3
