org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	northEastPane	B5	0/12
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	northEastPane	B7	0/10
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	northEastPane	B9	0/8
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	northEastPane	B11	0/6
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	northEastPane	B13	0/4
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	northEastPane	B14	0/3
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	southEastPane	B3	0/14
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	southEastPane	B5	0/12
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	southEastPane	B7	0/10
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	southEastPane	B9	0/8
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	southEastPane	B11	0/6
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	southEastPane	B13	0/4
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	southEastPane	B15	0/2
org.argouml.notation.ui.SettingsTabNotation	public void handleSettingsTabSave() 	ns	B4	0/14
org.argouml.notation.ui.SettingsTabNotation	public void handleSettingsTabSave() 	ns	B6	0/7
org.argouml.persistence.OldZargoFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	lastArchiveFile	B1	0/13
org.argouml.persistence.UmlFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	lastArchiveFile	B1	0/13
org.argouml.persistence.XmiFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	lastArchiveFile	B1	0/13
org.argouml.persistence.ZargoFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	lastArchiveFile	B1	0/13
org.argouml.persistence.ZipFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException	lastArchiveFile	B1	0/13
org.argouml.profile.internal.TestProfileManagerImpl	public void testXmiProfileDependencyResolutionWithProfilesHandedInReverseOrderOfDependencyInTwoCalls() throws java.io.IOException, org.argouml.model.UmlException	managerImpl	B1	0/13
org.argouml.ui.ProjectBrowser	private void targetChanged(java.lang.Object) 	theCurrentNamespace	B3	0/13
org.argouml.ui.TestStylePanel	public void testTargetSet() 	pane	B1	0/13
org.argouml.ui.cmd.GenericArgoMenuBar	private void initMenuView() 	showSaved	B7	0/13
org.argouml.uml.reveng.Import	private javax.swing.JComponent getConfigPanel() 	selectedLanguage	B2	0/13
org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel	public List#RAW getInEdges(java.lang.Object) 	it	B6	0/13
org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel	public List#RAW getInEdges(java.lang.Object) 	it	B7	0/12
org.argouml.ui.ProjectBrowser	private void targetChanged(java.lang.Object) 	p	B3	0/13
org.argouml.ui.ProjectBrowser	private void targetChanged(java.lang.Object) 	p	B10	0/3
org.argouml.persistence.UmlFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	tempFile	B1	0/13
org.argouml.persistence.UmlFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	tempFile	B3	0/7
org.argouml.persistence.UmlFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	tempFile	B4	0/6
org.argouml.persistence.UmlFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	tempFile	B6	0/4
org.argouml.persistence.XmiFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	tempFile	B1	0/13
org.argouml.persistence.XmiFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	tempFile	B3	0/7
org.argouml.persistence.XmiFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	tempFile	B4	0/6
org.argouml.persistence.XmiFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	tempFile	B6	0/4
org.argouml.persistence.ZargoFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	tempFile	B1	0/13
org.argouml.persistence.ZargoFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	tempFile	B3	0/7
org.argouml.persistence.ZargoFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	tempFile	B4	0/7
org.argouml.persistence.ZargoFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	tempFile	B7	0/7
org.argouml.persistence.ZargoFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	tempFile	B8	0/6
org.argouml.persistence.ZargoFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException, java.lang.InterruptedException	tempFile	B10	0/4
org.argouml.persistence.ZipFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException	tempFile	B1	0/13
org.argouml.persistence.ZipFilePersister	public void doSave(org.argouml.kernel.Project, java.io.File) throws org.argouml.persistence.SaveException	tempFile	B3	0/7
